Field	Type	Null	Key	Default	Extra
q_id	int(11)	NO	PRI	NULL	auto_increment
question	varchar(255)	NO		NULL	
correct_a	varchar(255)	NO		NULL	
incorrect_1	varchar(255)	NO		NULL	
incorrect_2	varchar(255)	NO		NULL	
incorrect_3	varchar(255)	NO		NULL	
incorrect_4	varchar(255)	YES		NULL	
created_at	timestamp	NO		CURRENT_TIMESTAMP	
